iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
TLS,Timor,2003,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,738.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947110.0,0.699,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2004,,0.0,,,,,8.282,0.058,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,778.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971889.0,0.757,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2005,,0.0,,,,,0.348,0.003,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,763.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995130.0,0.76,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2006,,0.0,,,,,2.023,0.015,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,762.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016437.0,0.775,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2007,,0.0,,,,,3.508,0.027,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,774.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036387.0,0.802,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2008,,0.0,,,,,9.903,0.079,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,835.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055428.0,0.882,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2009,,0.0,,,,,11.9,0.105,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,918.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074286.0,0.987,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2010,,0.0,,,,,4.087,0.04,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,939.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093517.0,1.027,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2011,,0.0,,,,,3.759,0.039,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,957.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113154.0,1.065,,,,,,,,,,,,,,,,,,,,,
TLS,Timor,2012,,0.0,,,,,18.25,0.194,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1112.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133002.0,1.26,,,,,,,,,,,,,,,,,,,,,
