iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
GLP,Guadeloupe,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,6144.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336683.0,2.069,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1981,,0.0,,,,,39.617,0.82,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,8572.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336932.0,2.888,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1982,,0.0,,,,,26.531,0.766,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,10856.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336612.0,3.654,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1983,,0.0,,,,,4.839,0.177,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,11379.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336677.0,3.831,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1984,,0.0,,,,,9.53,0.365,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,12399.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338430.0,4.196,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1985,,0.0,,,,,-8.701,-0.365,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,11178.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342737.0,3.831,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1986,,0.0,,,,,4.087,0.157,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,11391.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350061.0,3.988,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1987,,0.0,,,,,15.597,0.622,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,12808.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359911.0,4.61,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1988,,0.0,,,,,10.086,0.465,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,13681.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370913.0,5.075,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,1989,,0.0,,,,,10.191,0.517,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,14671.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381139.0,5.592,,,,,,,,,,,,,,,,,,,,,
